quote_no,quote_date,fiscal_year,customer_no,salesperson_code,line_no,item_no,item_description,item_category_code,quantity,unit_price,sales_amount,cost_amount,gross_profit,gross_profit_margin_pct,status
QT00055,2022-11-11,F 2022,C0005,JO,10000,2004-S,"LAGOS Executive Chair, grey",CHAIR,4,32121.26,128485.04,104419.3,24065.74,18.73,Converted
QT00055,2022-11-11,F 2022,C0005,JO,20000,1936-S,ACCRA Round Table,TABLE,5,104671.07,523355.35,360143.49,163211.86,31.19,Open
QT00055,2022-11-11,F 2022,C0005,JO,30000,1980-S,"KISUMU Swivel Chair, red",CHAIR,3,33530.64,100591.92,61656.99,38934.93,38.71,Converted
QT00056,2020-07-07,F 2020,C0009,OF,10000,1920-S,LUANDA Conference Table,TABLE,19,253869.73,4823524.87,2844057.91,1979466.96,41.04,Open
QT00056,2020-07-07,F 2020,C0009,OF,20000,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,6,43893.94,263363.64,152786.94,110576.7,41.99,Expired
QT00056,2020-07-07,F 2020,C0009,OF,30000,2004-S,"LAGOS Executive Chair, grey",CHAIR,19,37531.54,713099.26,492470.63,220628.63,30.94,Open
QT00057,2024-01-16,F 2024,C0035,LT,10000,1944-S,HARARE Folding Table,TABLE,9,44928.48,404356.32,290306.49,114049.83,28.21,Open
QT00057,2024-01-16,F 2024,C0035,LT,20000,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,10,177263.43,1772634.3,1132652.49,639981.81,36.1,Expired
QT00057,2024-01-16,F 2024,C0035,LT,30000,1960-S,"NAIROBI Guest Chair, green",CHAIR,14,21339.01,298746.14,211393.63,87352.51,29.24,Open
QT00058,2022-10-14,F 2022,C0002,OF,10000,1956-S,Conference Bundle 1-6,MISC,19,398734.74,7575960.06,4784204.65,2791755.41,36.85,Converted
QT00058,2022-10-14,F 2022,C0002,OF,20000,1960-S,"NAIROBI Guest Chair, green",CHAIR,13,25405.37,330269.81,188762.68,141507.13,42.85,Converted
QT00058,2022-10-14,F 2022,C0002,OF,30000,2008-S,"ACCRA Stacking Chair, blue",CHAIR,9,12441.07,111969.63,79754.06,32215.57,28.77,Converted
QT00059,2020-12-29,F 2020,C0002,JO,10000,1900-S,CAIRO Writing Desk,BENCH,18,121841.19,2193141.42,1337047.62,856093.8,39.04,Expired
QT00059,2020-12-29,F 2020,C0002,JO,20000,1964-S,Guest Section 1,MISC,9,128398.59,1155587.31,782153.5,373433.81,32.32,Open
QT00059,2020-12-29,F 2020,C0002,JO,30000,1908-S,DUBAI Corner Desk,BENCH,17,141676.42,2408499.14,1469234.22,939264.92,39.0,Converted
QT00059,2020-12-29,F 2020,C0002,JO,40000,1936-S,ACCRA Round Table,TABLE,8,96011.86,768094.88,492486.33,275608.55,35.88,Expired
QT00060,2025-03-07,F 2025,C0032,JO,10000,1976-S,LONDON Bookcase,MISC,12,56331.67,675980.04,388796.65,287183.39,42.48,Open
QT00060,2025-03-07,F 2025,C0032,JO,20000,1952-S,"ABUJA Whiteboard, base",MISC,18,52944.63,953003.34,655912.24,297091.1,31.17,Converted
QT00060,2025-03-07,F 2025,C0032,JO,30000,1960-S,"NAIROBI Guest Chair, green",CHAIR,4,25441.16,101764.64,62141.27,39623.37,38.94,Expired
QT00060,2025-03-07,F 2025,C0032,JO,40000,1920-S,LUANDA Conference Table,TABLE,15,219978.51,3299677.65,2426139.85,873537.8,26.47,Open
QT00060,2025-03-07,F 2025,C0032,JO,50000,1956-S,Conference Bundle 1-6,MISC,3,323433.65,970300.95,774499.98,195800.97,20.18,Converted
QT00061,2021-04-10,F 2021,C0001,OF,10000,1976-S,LONDON Bookcase,MISC,15,46478.74,697181.1,524620.49,172560.61,24.75,Converted
QT00061,2021-04-10,F 2021,C0001,OF,20000,1988-S,"KAMPALA Guest Chair, red",CHAIR,2,27934.83,55869.66,35047.49,20822.17,37.27,Expired
QT00061,2021-04-10,F 2021,C0001,OF,30000,1920-S,LUANDA Conference Table,TABLE,1,215169.34,215169.34,148162.59,67006.75,31.14,Converted
QT00062,2024-12-01,F 2024,C0025,OF,10000,1900-S,CAIRO Writing Desk,BENCH,10,115837.46,1158374.6,731591.84,426782.76,36.84,Open
QT00063,2024-06-21,F 2024,C0023,JO,10000,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,15,158061.33,2370919.95,1764659.55,606260.4,25.57,Converted
QT00063,2024-06-21,F 2024,C0023,JO,20000,1988-S,"KAMPALA Guest Chair, red",CHAIR,14,22820.73,319490.22,241801.37,77688.85,24.32,Converted
QT00064,2022-04-26,F 2022,C0005,JO,10000,1956-S,Conference Bundle 1-6,MISC,3,398422.22,1195266.66,759197.06,436069.6,36.48,Converted
QT00065,2021-02-18,F 2021,C0002,LT,10000,1952-S,"ABUJA Whiteboard, base",MISC,18,50452.71,908148.78,683287.25,224861.53,24.76,Expired
QT00065,2021-02-18,F 2021,C0002,LT,20000,1944-S,HARARE Folding Table,TABLE,3,48904.73,146714.19,89821.13,56893.06,38.78,Open
QT00065,2021-02-18,F 2021,C0002,LT,30000,1980-S,"KISUMU Swivel Chair, red",CHAIR,18,30065.03,541170.54,391673.6,149496.94,27.62,Converted
QT00065,2021-02-18,F 2021,C0002,LT,40000,1928-S,DAKAR Meeting Table,TABLE,3,144785.13,434355.39,287278.56,147076.83,33.86,Open
QT00066,2022-06-15,F 2022,C0022,HR,10000,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,8,43761.78,350094.24,232361.23,117733.01,33.63,Expired
QT00066,2022-06-15,F 2022,C0022,HR,20000,1896-S,ADDIS ABABA Executive Desk,BENCH,2,204213.92,408427.84,258054.59,150373.25,36.82,Open
QT00066,2022-06-15,F 2022,C0022,HR,30000,1908-S,DUBAI Corner Desk,BENCH,2,114516.09,229032.18,193077.1,35955.08,15.7,Converted
QT00067,2024-12-29,F 2024,C0002,LT,10000,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,18,43483.72,782706.96,493224.57,289482.39,36.98,Converted
QT00067,2024-12-29,F 2024,C0002,LT,20000,1984-S,MADRID Monitor Stand,MISC,11,12397.87,136376.57,98048.16,38328.41,28.1,Open
QT00067,2024-12-29,F 2024,C0002,LT,30000,EM-001,Executive Meeting Room Set,EM_COMMER,10,727796.42,7277964.2,5285472.45,1992491.75,27.38,Open
QT00068,2024-07-29,F 2024,C0003,JO,10000,1896-S,ADDIS ABABA Executive Desk,BENCH,9,184787.04,1663083.36,1182475.59,480607.77,28.9,Open
QT00068,2024-07-29,F 2024,C0003,JO,20000,1896-S,ADDIS ABABA Executive Desk,BENCH,11,212971.02,2342681.22,1292731.82,1049949.4,44.82,Open
QT00068,2024-07-29,F 2024,C0003,JO,30000,1896-S,ADDIS ABABA Executive Desk,BENCH,7,191553.28,1340872.96,978597.85,362275.11,27.02,Converted
QT00068,2024-07-29,F 2024,C0003,JO,40000,1960-S,"NAIROBI Guest Chair, green",CHAIR,2,20288.77,40577.54,30154.61,10422.93,25.69,Open
QT00069,2023-07-12,F 2023,C0001,OF,10000,1936-S,ACCRA Round Table,TABLE,1,107608.76,107608.76,69495.2,38113.56,35.42,Converted
QT00069,2023-07-12,F 2023,C0001,OF,20000,1968-S,OSLO Filing Cabinet,MISC,4,33396.73,133586.92,88970.89,44616.03,33.4,Expired
QT00069,2023-07-12,F 2023,C0001,OF,30000,1900-S,CAIRO Writing Desk,BENCH,17,110177.11,1873010.87,1228104.63,644906.24,34.43,Open
QT00069,2023-07-12,F 2023,C0001,OF,40000,BEAN-1,Coffee Beans 1kg (AA Grade),BEANS,1,1708.62,1708.62,971.36,737.26,43.15,Expired
QT00070,2020-04-20,F 2020,C0006,LT,10000,1936-S,ACCRA Round Table,TABLE,6,103976.39,623858.34,393600.15,230258.19,36.91,Open
QT00070,2020-04-20,F 2020,C0006,LT,20000,1936-S,ACCRA Round Table,TABLE,12,89388.37,1072660.44,831512.19,241148.25,22.48,Open
QT00070,2020-04-20,F 2020,C0006,LT,30000,1976-S,LONDON Bookcase,MISC,9,53387.61,480488.49,283964.51,196523.98,40.9,Open
QT00070,2020-04-20,F 2020,C0006,LT,40000,1980-S,"KISUMU Swivel Chair, red",CHAIR,1,27497.98,27497.98,20878.96,6619.02,24.07,Converted
QT00071,2022-01-01,F 2022,C0029,JO,10000,1964-S,Guest Section 1,MISC,2,144573.24,289146.48,189590.84,99555.64,34.43,Expired
QT00071,2022-01-01,F 2022,C0029,JO,20000,1952-S,"ABUJA Whiteboard, base",MISC,2,47541.42,95082.84,73592.06,21490.78,22.6,Open
QT00071,2022-01-01,F 2022,C0029,JO,30000,1988-S,"KAMPALA Guest Chair, red",CHAIR,6,23884.57,143307.42,101484.23,41823.19,29.18,Open
QT00071,2022-01-01,F 2022,C0029,JO,40000,1952-S,"ABUJA Whiteboard, base",MISC,19,58578.12,1112984.28,686468.92,426515.36,38.32,Converted
QT00071,2022-01-01,F 2022,C0029,JO,50000,1920-S,LUANDA Conference Table,TABLE,2,272283.39,544566.78,294000.37,250566.41,46.01,Open
QT00072,2023-12-13,F 2023,C0001,OF,10000,1980-S,"KISUMU Swivel Chair, red",CHAIR,5,26406.47,132032.35,105755.57,26276.78,19.9,Converted
QT00072,2023-12-13,F 2023,C0001,OF,20000,1976-S,LONDON Bookcase,MISC,19,44132.22,838512.18,596669.77,241842.41,28.84,Converted
QT00072,2023-12-13,F 2023,C0001,OF,30000,1968-S,OSLO Filing Cabinet,MISC,3,39525.05,118575.15,75959.55,42615.6,35.94,Expired
QT00072,2023-12-13,F 2023,C0001,OF,40000,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,20,39648.52,792970.4,569588.56,223381.84,28.17,Open
