entry_no,posting_date,fiscal_year,document_type,document_no,line_no,customer_no,salesperson_code,item_no,item_description,item_category_code,location_code,quantity,unit_price,sales_amount,cost_amount,gross_profit,gross_profit_margin_pct
617,2022-03-30,F 2022,Sales Invoice,SI103446,40000,C0004,CM,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,,11,28514.49,313659.39,221289.86,92369.53,29.45
618,2022-04-29,F 2022,Sales Invoice,SI103447,10000,C0001,AO,1980-S,"KISUMU Swivel Chair, red",CHAIR,,11,31180.96,342990.56,201570.6,141419.96,41.23
619,2022-04-29,F 2022,Sales Invoice,SI103447,20000,C0001,AO,1980-S,"KISUMU Swivel Chair, red",CHAIR,NAK,3,25739.77,77219.31,59167.8,18051.51,23.38
620,2022-08-23,F 2022,Sales Invoice,SI103448,10000,C0017,AO,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,,2,37522.26,75044.52,52025.7,23018.82,30.67
621,2022-08-23,F 2022,Sales Invoice,SI103448,20000,C0017,AO,1900-S,CAIRO Writing Desk,BENCH,NBI,4,97276.12,389104.48,308542.36,80562.12,20.7
622,2022-08-23,F 2022,Sales Invoice,SI103448,30000,C0017,AO,1956-S,Conference Bundle 1-6,MISC,,3,335256.98,1005770.94,726517.62,279253.32,27.77
623,2022-09-17,F 2022,Sales Invoice,SI103449,10000,C0005,AO,1988-S,"KAMPALA Guest Chair, red",CHAIR,,7,21545.59,150819.13,126961.8,23857.33,15.82
624,2022-09-17,F 2022,Sales Invoice,SI103449,20000,C0005,AO,1968-S,OSLO Filing Cabinet,MISC,,11,31511.56,346627.16,293059.69,53567.47,15.45
625,2022-09-17,F 2022,Sales Invoice,SI103449,30000,C0005,AO,1900-S,CAIRO Writing Desk,BENCH,,10,126811.64,1268116.4,791253.6,476862.8,37.6
626,2021-11-30,F 2022,Sales Invoice,SI103450,10000,C0013,AO,1908-S,DUBAI Corner Desk,BENCH,KSM,1,132253.21,132253.21,87708.0,44545.21,33.68
627,2021-11-30,F 2022,Sales Invoice,SI103450,20000,C0013,AO,1908-S,DUBAI Corner Desk,BENCH,,6,134280.17,805681.02,568189.26,237491.76,29.48
628,2021-11-30,F 2022,Sales Invoice,SI103450,30000,C0013,AO,1976-S,LONDON Bookcase,MISC,,8,56709.15,453673.2,268718.64,184954.56,40.77
629,2021-11-30,F 2022,Sales Invoice,SI103450,40000,C0013,AO,1944-S,HARARE Folding Table,TABLE,,12,48599.91,583198.92,366900.12,216298.8,37.09
630,2021-11-30,F 2022,Sales Invoice,SI103450,50000,C0013,AO,1952-S,"ABUJA Whiteboard, base",MISC,,2,50673.5,101347.0,72573.02,28773.98,28.39
631,2022-01-05,F 2022,Sales Invoice,SI103451,10000,C0018,AO,1908-S,DUBAI Corner Desk,BENCH,KSM,9,116971.94,1052747.46,712747.8,339999.66,32.3
632,2022-03-11,F 2022,Sales Invoice,SI103452,10000,C0001,AO,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,,5,139696.59,698482.95,597205.8,101277.15,14.5
633,2022-03-11,F 2022,Sales Invoice,SI103452,20000,C0001,AO,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,,11,38051.71,418568.81,318059.28,100509.53,24.01
634,2022-07-13,F 2022,Sales Invoice,SI103453,10000,C0004,AO,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,,5,40151.8,200759.0,126694.45,74064.55,36.89
635,2022-07-13,F 2022,Sales Invoice,SI103453,20000,C0004,AO,1980-S,"KISUMU Swivel Chair, red",CHAIR,NBI,11,27486.79,302354.69,216713.64,85641.05,28.32
636,2021-12-22,F 2022,Sales Invoice,SI103454,10000,C0006,AO,1952-S,"ABUJA Whiteboard, base",MISC,,10,52735.49,527354.9,366992.7,160362.2,30.41
637,2021-12-22,F 2022,Sales Invoice,SI103454,20000,C0006,AO,1984-S,MADRID Monitor Stand,MISC,,1,10828.63,10828.63,7949.77,2878.86,26.59
638,2021-12-22,F 2022,Sales Invoice,SI103454,30000,C0006,AO,1920-S,LUANDA Conference Table,TABLE,,2,223575.11,447150.22,316905.9,130244.32,29.13
639,2021-12-22,F 2022,Sales Invoice,SI103454,40000,C0006,AO,1960-S,"NAIROBI Guest Chair, green",CHAIR,KSM,7,21637.38,151461.66,108899.63,42562.03,28.1
640,2022-02-24,F 2022,Sales Invoice,SI103455,10000,C0010,BM,1956-S,Conference Bundle 1-6,MISC,NBI,11,390876.6,4299642.6,2790277.05,1509365.55,35.1
641,2022-02-24,F 2022,Sales Invoice,SI103455,20000,C0010,BM,1976-S,LONDON Bookcase,MISC,,9,43151.67,388365.03,276220.53,112144.5,28.88
642,2022-02-24,F 2022,Sales Invoice,SI103455,30000,C0010,BM,1908-S,DUBAI Corner Desk,BENCH,,4,139602.47,558409.88,335661.12,222748.76,39.89
643,2022-02-24,F 2022,Sales Invoice,SI103455,40000,C0010,BM,1928-S,DAKAR Meeting Table,TABLE,,3,155702.99,467108.97,301934.43,165174.54,35.36
644,2022-02-24,F 2022,Sales Invoice,SI103455,50000,C0010,BM,1928-S,DAKAR Meeting Table,TABLE,KSM,7,164320.31,1150242.17,739829.65,410412.52,35.68
645,2021-11-05,F 2022,Sales Invoice,SI103456,10000,C0009,CM,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,,10,151681.5,1516815.0,1111644.7,405170.3,26.71
646,2021-11-05,F 2022,Sales Invoice,SI103456,20000,C0009,CM,1920-S,LUANDA Conference Table,TABLE,,4,212511.11,850044.44,624644.12,225400.32,26.52
647,2021-11-05,F 2022,Sales Invoice,SI103456,30000,C0009,CM,1980-S,"KISUMU Swivel Chair, red",CHAIR,,9,34495.53,310459.77,188574.3,121885.47,39.26
648,2021-11-29,F 2022,Sales Invoice,SI103457,10000,C0033,CM,1956-S,Conference Bundle 1-6,MISC,,10,344729.84,3447298.4,2505884.2,941414.2,27.31
649,2021-11-29,F 2022,Sales Invoice,SI103457,20000,C0033,CM,1900-S,CAIRO Writing Desk,BENCH,,4,129868.56,519474.24,293924.28,225549.96,43.42
650,2021-11-29,F 2022,Sales Invoice,SI103457,30000,C0033,CM,1900-S,CAIRO Writing Desk,BENCH,,10,109122.07,1091220.7,823899.1,267321.6,24.5
651,2021-11-29,F 2022,Sales Invoice,SI103457,40000,C0033,CM,1896-S,ADDIS ABABA Executive Desk,BENCH,,4,209131.63,836526.52,532903.92,303622.6,36.3
652,2022-03-30,F 2022,Sales Invoice,SI103458,10000,C0001,AO,1988-S,"KAMPALA Guest Chair, red",CHAIR,,2,27864.2,55728.4,35525.48,20202.92,36.25
653,2022-03-30,F 2022,Sales Invoice,SI103458,20000,C0001,AO,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,MBA,3,170037.51,510112.53,329071.35,181041.18,35.49
654,2022-03-30,F 2022,Sales Invoice,SI103458,30000,C0001,AO,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,,12,41995.93,503951.16,323933.76,180017.4,35.72
655,2022-03-30,F 2022,Sales Invoice,SI103458,40000,C0001,AO,1988-S,"KAMPALA Guest Chair, red",CHAIR,,12,24041.2,288494.4,194951.88,93542.52,32.42
656,2022-02-05,F 2022,Sales Invoice,SI103459,10000,C0004,CM,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,,2,24556.14,49112.28,34462.04,14650.24,29.83
657,2022-02-05,F 2022,Sales Invoice,SI103459,20000,C0004,CM,1952-S,"ABUJA Whiteboard, base",MISC,,9,61624.72,554622.48,327417.57,227204.91,40.97
658,2022-02-05,F 2022,Sales Invoice,SI103459,30000,C0004,CM,2004-S,"LAGOS Executive Chair, grey",CHAIR,NAK,10,32828.95,328289.5,219123.8,109165.7,33.25
659,2022-06-19,F 2022,Sales Invoice,SI103460,10000,C0002,AO,1960-S,"NAIROBI Guest Chair, green",CHAIR,,7,19697.95,137885.65,115195.29,22690.36,16.46
660,2022-06-19,F 2022,Sales Invoice,SI103460,20000,C0002,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,,11,165191.4,1817105.4,1499533.97,317571.43,17.48
661,2022-06-23,F 2022,Return Order,RO400001,10000,C0015,AO,1988-S,"KAMPALA Guest Chair, red",CHAIR,NBI,-10,27914.62,-279146.2,-183470.1,-95676.1,34.27
662,2022-01-04,F 2022,Return Order,RO400002,10000,C0003,BM,1920-S,LUANDA Conference Table,TABLE,,-6,204402.23,-1226413.38,-933920.4,-292492.98,23.85
663,2022-01-04,F 2022,Return Order,RO400002,20000,C0003,BM,1952-S,"ABUJA Whiteboard, base",MISC,,-6,58452.72,-350716.32,-199607.94,-151108.38,43.09
664,2021-12-07,F 2022,Return Order,RO400003,10000,C0016,CM,1936-S,ACCRA Round Table,TABLE,,-4,96457.44,-385829.76,-248113.6,-137716.16,35.69
665,2021-12-07,F 2022,Return Order,RO400003,20000,C0016,CM,1952-S,"ABUJA Whiteboard, base",MISC,,-12,59590.23,-715082.76,-466497.84,-248584.92,34.76
666,2021-12-07,F 2022,Return Order,RO400003,30000,C0016,CM,1900-S,CAIRO Writing Desk,BENCH,NBI,-11,125102.26,-1376124.86,-779010.76,-597114.1,43.39
667,2021-12-07,F 2022,Return Order,RO400003,40000,C0016,CM,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,,-9,39280.07,-353520.63,-242205.03,-111315.6,31.49
668,2021-12-23,F 2022,Return Order,RO400004,10000,C0023,AO,1920-S,LUANDA Conference Table,TABLE,,-8,254348.34,-2034786.72,-1214361.36,-820425.36,40.32
669,2021-12-23,F 2022,Return Order,RO400004,20000,C0023,AO,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,,-5,157460.52,-787302.6,-516868.55,-270434.05,34.35
670,2022-09-13,F 2022,Return Order,RO400005,10000,C0002,CM,1928-S,DAKAR Meeting Table,TABLE,,-3,156873.44,-470620.32,-287433.12,-183187.2,38.92
671,2022-09-13,F 2022,Return Order,RO400005,20000,C0002,CM,1908-S,DUBAI Corner Desk,BENCH,,-12,133409.08,-1600908.96,-1013437.2,-587471.76,36.7
672,2022-05-26,F 2022,Return Order,RO400006,10000,C0002,BM,1952-S,"ABUJA Whiteboard, base",MISC,,-6,59192.83,-355156.98,-217371.48,-137785.5,38.8
673,2021-11-06,F 2022,Return Order,RO400007,10000,C0003,AO,1928-S,DAKAR Meeting Table,TABLE,,-12,160959.0,-1931508.0,-1127080.08,-804427.92,41.65
674,2021-11-06,F 2022,Return Order,RO400007,20000,C0003,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,,-6,217397.4,-1304384.4,-857291.94,-447092.46,34.28
675,2021-12-25,F 2022,Return Order,RO400008,10000,C0001,AO,1928-S,DAKAR Meeting Table,TABLE,,-12,143336.68,-1720040.16,-1103035.8,-617004.36,35.87
676,2021-12-25,F 2022,Return Order,RO400008,20000,C0001,AO,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,,-2,26352.48,-52704.96,-37243.84,-15461.12,29.34
677,2021-12-25,F 2022,Return Order,RO400008,30000,C0001,AO,1952-S,"ABUJA Whiteboard, base",MISC,,-9,61950.03,-557550.27,-353483.73,-204066.54,36.6
678,2021-12-19,F 2022,Return Order,RO400009,10000,C0031,AO,1988-S,"KAMPALA Guest Chair, red",CHAIR,,-12,27637.51,-331650.12,-184104.24,-147545.88,44.49
679,2021-12-19,F 2022,Return Order,RO400009,20000,C0031,AO,1956-S,Conference Bundle 1-6,MISC,MBA,-1,328240.37,-328240.37,-253301.33,-74939.04,22.83
680,2022-06-01,F 2022,Return Order,RO400010,10000,C0027,AO,1908-S,DUBAI Corner Desk,BENCH,,-3,147999.62,-443998.86,-268975.35,-175023.51,39.42
681,2022-06-01,F 2022,Return Order,RO400010,20000,C0027,AO,1920-S,LUANDA Conference Table,TABLE,,-11,209473.54,-2304208.94,-1929931.19,-374277.75,16.24
682,2022-06-01,F 2022,Return Order,RO400010,30000,C0027,AO,1920-S,LUANDA Conference Table,TABLE,,-9,268019.7,-2412177.3,-1382789.25,-1029388.05,42.67
683,2022-06-01,F 2022,Return Order,RO400010,40000,C0027,AO,1952-S,"ABUJA Whiteboard, base",MISC,,-8,58396.91,-467175.28,-276077.2,-191098.08,40.91
684,2022-06-01,F 2022,Return Order,RO400010,50000,C0027,AO,1960-S,"NAIROBI Guest Chair, green",CHAIR,,-9,25846.9,-232622.1,-125221.77,-107400.33,46.17
685,2022-05-29,F 2022,Return Order,RO400011,10000,C0016,BM,1952-S,"ABUJA Whiteboard, base",MISC,,-5,52701.4,-263507.0,-202052.9,-61454.1,23.32
686,2022-05-29,F 2022,Return Order,RO400011,20000,C0016,BM,1988-S,"KAMPALA Guest Chair, red",CHAIR,MBA,-1,22897.16,-22897.16,-16602.95,-6294.21,27.49
687,2022-05-12,F 2022,Return Order,RO400012,10000,C0002,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,,-7,180522.9,-1263660.3,-794215.17,-469445.13,37.15
688,2022-05-12,F 2022,Return Order,RO400012,20000,C0002,AO,1908-S,DUBAI Corner Desk,BENCH,,-10,112784.72,-1127847.2,-885426.3,-242420.9,21.49
689,2022-05-12,F 2022,Return Order,RO400012,30000,C0002,AO,1944-S,HARARE Folding Table,TABLE,,-5,40359.59,-201797.95,-165006.2,-36791.75,18.23
690,2022-02-26,F 2022,Return Order,RO400013,10000,C0005,AO,1936-S,ACCRA Round Table,TABLE,,-8,96398.4,-771187.2,-478853.12,-292334.08,37.91
691,2022-02-26,F 2022,Return Order,RO400013,20000,C0005,AO,1908-S,DUBAI Corner Desk,BENCH,,-3,150432.43,-451297.29,-287112.3,-164184.99,36.38
692,2022-05-13,F 2022,Return Order,RO400014,10000,C0003,BM,1900-S,CAIRO Writing Desk,BENCH,,-6,119222.55,-715335.3,-494308.26,-221027.04,30.9
693,2022-04-09,F 2022,Return Order,RO400015,10000,C0021,AO,1956-S,Conference Bundle 1-6,MISC,,-3,315183.57,-945550.71,-697405.53,-248145.18,26.24
694,2022-04-09,F 2022,Return Order,RO400015,20000,C0021,AO,1900-S,CAIRO Writing Desk,BENCH,,-4,125867.99,-503471.96,-322493.64,-180978.32,35.95
695,2021-10-07,F 2022,Return Order,RO400016,10000,C0020,AO,1952-S,"ABUJA Whiteboard, base",MISC,,-8,47477.48,-379819.84,-306404.0,-73415.84,19.33
696,2021-11-18,F 2022,Return Order,RO400017,10000,C0034,BM,1928-S,DAKAR Meeting Table,TABLE,KSM,-5,142719.5,-713597.5,-427411.25,-286186.25,40.1
697,2021-11-18,F 2022,Return Order,RO400017,20000,C0034,BM,1944-S,HARARE Folding Table,TABLE,,-9,38112.29,-343010.61,-249947.46,-93063.15,27.13
698,2022-01-10,F 2022,Return Order,RO400018,10000,C0001,AO,CM-001,Commercial Reception Desk,CM_COMMER,,-4,463721.58,-1854886.32,-1133118.6,-721767.72,38.91
699,2022-01-10,F 2022,Return Order,RO400018,20000,C0001,AO,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,NAK,-2,43054.51,-86109.02,-55366.58,-30742.44,35.7
700,2022-01-10,F 2022,Return Order,RO400018,30000,C0001,AO,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,,-12,140097.28,-1681167.36,-1241480.88,-439686.48,26.15
701,2021-11-15,F 2022,Return Order,RO400019,10000,C0006,AO,2004-S,"LAGOS Executive Chair, grey",CHAIR,,-11,33702.99,-370732.89,-235345.44,-135387.45,36.52
702,2021-11-15,F 2022,Return Order,RO400019,20000,C0006,AO,1908-S,DUBAI Corner Desk,BENCH,NAK,-2,128510.52,-257021.04,-189484.84,-67536.2,26.28
703,2021-11-15,F 2022,Return Order,RO400019,30000,C0006,AO,1952-S,"ABUJA Whiteboard, base",MISC,,-6,53044.92,-318269.52,-198546.72,-119722.8,37.62
704,2022-09-18,F 2022,Return Order,RO400020,10000,C0017,AO,1960-S,"NAIROBI Guest Chair, green",CHAIR,KSM,-12,25845.72,-310148.64,-186634.8,-123513.84,39.82
705,2022-01-06,F 2022,Credit Memo,RC300001,10000,C0008,BM,1900-S,CAIRO Writing Desk,BENCH,,-10,95807.45,-958074.5,-772841.4,-185233.1,19.33
706,2022-01-06,F 2022,Credit Memo,RC300001,20000,C0008,BM,1980-S,"KISUMU Swivel Chair, red",CHAIR,,-5,27430.27,-137151.35,-91445.85,-45705.5,33.32
707,2022-08-23,F 2022,Credit Memo,RC300002,10000,C0018,AO,1920-S,LUANDA Conference Table,TABLE,KSM,-6,235020.77,-1410124.62,-998782.8,-411341.82,29.17
708,2022-08-23,F 2022,Credit Memo,RC300002,20000,C0018,AO,1928-S,DAKAR Meeting Table,TABLE,KSM,-9,132902.23,-1196120.07,-855519.21,-340600.86,28.48
709,2022-08-23,F 2022,Credit Memo,RC300002,30000,C0018,AO,1952-S,"ABUJA Whiteboard, base",MISC,KSM,-3,56669.85,-170009.55,-98609.94,-71399.61,42.0
710,2022-08-23,F 2022,Credit Memo,RC300002,40000,C0018,AO,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,MBA,-9,31634.17,-284707.53,-149224.5,-135483.03,47.59
711,2021-12-31,F 2022,Credit Memo,RC300003,10000,C0002,CM,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,,-10,27637.19,-276371.9,-185325.3,-91046.6,32.94
712,2021-12-31,F 2022,Credit Memo,RC300003,20000,C0002,CM,1920-S,LUANDA Conference Table,TABLE,,-10,278747.41,-2787474.1,-1641054.3,-1146419.8,41.13
713,2021-11-06,F 2022,Credit Memo,RC300004,10000,C0030,AO,1976-S,LONDON Bookcase,MISC,,-2,48453.06,-96906.12,-67512.6,-29393.52,30.33
714,2021-11-06,F 2022,Credit Memo,RC300004,20000,C0030,AO,1944-S,HARARE Folding Table,TABLE,,-7,46100.05,-322700.35,-230340.32,-92360.03,28.62
715,2021-11-06,F 2022,Credit Memo,RC300004,30000,C0030,AO,1920-S,LUANDA Conference Table,TABLE,,-9,221287.99,-1991591.91,-1288723.5,-702868.41,35.29
716,2022-01-19,F 2022,Credit Memo,RC300005,10000,C0001,CM,1908-S,DUBAI Corner Desk,BENCH,,-4,144327.51,-577310.04,-340814.4,-236495.64,40.97
717,2022-01-19,F 2022,Credit Memo,RC300005,20000,C0001,CM,1976-S,LONDON Bookcase,MISC,,-9,54047.59,-486428.31,-315419.22,-171009.09,35.16
718,2022-01-19,F 2022,Credit Memo,RC300005,30000,C0001,CM,1920-S,LUANDA Conference Table,TABLE,,-6,261789.12,-1570734.72,-1026864.42,-543870.3,34.63
719,2021-11-23,F 2022,Credit Memo,RC300006,10000,C0002,AO,2004-S,"LAGOS Executive Chair, grey",CHAIR,MBA,-3,34070.46,-102211.38,-64126.11,-38085.27,37.26
720,2021-11-23,F 2022,Credit Memo,RC300006,20000,C0002,AO,1968-S,OSLO Filing Cabinet,MISC,,-9,37086.64,-333779.76,-237090.87,-96688.89,28.97
721,2022-08-21,F 2022,Credit Memo,RC300007,10000,C0017,AO,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,KSM,-4,143429.15,-573716.6,-465209.48,-108507.12,18.91
722,2022-08-21,F 2022,Credit Memo,RC300007,20000,C0017,AO,2008-S,"ACCRA Stacking Chair, blue",CHAIR,KSM,-8,12541.57,-100332.56,-68676.24,-31656.32,31.55
723,2022-08-21,F 2022,Credit Memo,RC300007,30000,C0017,AO,BEAN-1,Coffee Beans 1kg (AA Grade),BEANS,MBA,-10,1693.56,-16935.6,-9672.8,-7262.8,42.88
724,2021-10-04,F 2022,Credit Memo,RC300008,10000,C0002,AO,1960-S,"NAIROBI Guest Chair, green",CHAIR,,-12,19593.52,-235122.24,-194490.48,-40631.76,17.28
725,2021-10-04,F 2022,Credit Memo,RC300008,20000,C0002,AO,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,,-10,158163.41,-1581634.1,-1035964.6,-545669.5,34.5
726,2021-10-04,F 2022,Credit Memo,RC300008,30000,C0002,AO,1980-S,"KISUMU Swivel Chair, red",CHAIR,,-6,25501.45,-153008.7,-111344.76,-41663.94,27.23
727,2021-10-04,F 2022,Credit Memo,RC300008,40000,C0002,AO,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,KSM,-10,34121.24,-341212.4,-303602.5,-37609.9,11.02
728,2022-03-16,F 2022,Credit Memo,RC300009,10000,C0002,CM,1936-S,ACCRA Round Table,TABLE,KSM,-10,100987.58,-1009875.8,-754237.9,-255637.9,25.31
729,2022-03-16,F 2022,Credit Memo,RC300009,20000,C0002,CM,1960-S,"NAIROBI Guest Chair, green",CHAIR,MBA,-10,23157.0,-231570.0,-143000.9,-88569.1,38.25
730,2022-03-16,F 2022,Credit Memo,RC300009,30000,C0002,CM,2004-S,"LAGOS Executive Chair, grey",CHAIR,NBI,-7,38999.8,-272998.6,-155545.32,-117453.28,43.02
731,2022-03-16,F 2022,Credit Memo,RC300009,40000,C0002,CM,1988-S,"KAMPALA Guest Chair, red",CHAIR,,-11,24001.48,-264016.28,-197255.85,-66760.43,25.29
732,2022-08-20,F 2022,Credit Memo,RC300010,10000,C0003,AO,1908-S,DUBAI Corner Desk,BENCH,,-3,147642.75,-442928.25,-254790.24,-188138.01,42.48
733,2022-09-10,F 2022,Credit Memo,RC300011,10000,C0005,BM,1920-S,LUANDA Conference Table,TABLE,NBI,-9,211185.19,-1900666.71,-1411817.31,-488849.4,25.72
734,2022-09-10,F 2022,Credit Memo,RC300011,20000,C0005,BM,1980-S,"KISUMU Swivel Chair, red",CHAIR,,-6,33734.15,-202404.9,-127007.28,-75397.62,37.25
735,2022-04-23,F 2022,Credit Memo,RC300012,10000,C0004,AO,1936-S,ACCRA Round Table,TABLE,,-3,113377.81,-340133.43,-196990.95,-143142.48,42.08
736,2022-04-23,F 2022,Credit Memo,RC300012,20000,C0004,AO,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,,-9,185069.95,-1665629.55,-980106.12,-685523.43,41.16
737,2021-11-06,F 2022,Credit Memo,RC300013,10000,C0005,AO,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,,-2,160240.87,-320481.74,-240199.92,-80281.82,25.05
738,2021-11-06,F 2022,Credit Memo,RC300013,20000,C0005,AO,2004-S,"LAGOS Executive Chair, grey",CHAIR,,-10,36258.32,-362583.2,-257346.1,-105237.1,29.02
739,2021-11-06,F 2022,Credit Memo,RC300013,30000,C0005,AO,2008-S,"ACCRA Stacking Chair, blue",CHAIR,MBA,-8,13624.21,-108993.68,-58970.64,-50023.04,45.9
740,2022-01-28,F 2022,Credit Memo,RC300014,10000,C0004,AO,1964-S,Guest Section 1,MISC,,-2,145784.53,-291569.06,-204698.76,-86870.3,29.79
741,2022-01-28,F 2022,Credit Memo,RC300014,20000,C0004,AO,1980-S,"KISUMU Swivel Chair, red",CHAIR,,-5,30385.19,-151925.95,-95709.05,-56216.9,37.0
742,2022-01-28,F 2022,Credit Memo,RC300014,30000,C0004,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,,-1,163891.05,-163891.05,-132943.44,-30947.61,18.88
743,2022-07-07,F 2022,Credit Memo,RC300015,10000,C0003,BM,1944-S,HARARE Folding Table,TABLE,,-3,41374.75,-124124.25,-90679.68,-33444.57,26.94
744,2022-07-07,F 2022,Credit Memo,RC300015,20000,C0003,BM,1968-S,OSLO Filing Cabinet,MISC,,-9,35662.26,-320960.34,-230542.38,-90417.96,28.17
745,2023-09-22,F 2023,Sales Invoice,SI103461,10000,C0001,BM,1960-S,"NAIROBI Guest Chair, green",CHAIR,MBA,7,21735.24,152146.68,94713.57,57433.11,37.75
746,2023-09-22,F 2023,Sales Invoice,SI103461,20000,C0001,BM,2008-S,"ACCRA Stacking Chair, blue",CHAIR,KSM,2,14213.9,28427.8,15819.68,12608.12,44.35
747,2023-09-22,F 2023,Sales Invoice,SI103461,30000,C0001,BM,1988-S,"KAMPALA Guest Chair, red",CHAIR,MBA,7,29248.86,204742.02,111237.07,93504.95,45.67
748,2023-06-06,F 2023,Sales Invoice,SI103462,10000,C0008,CM,1900-S,CAIRO Writing Desk,BENCH,,8,131421.81,1051374.48,682218.16,369156.32,35.11
749,2023-06-29,F 2023,Sales Invoice,SI103463,10000,C0006,AO,1960-S,"NAIROBI Guest Chair, green",CHAIR,,11,19682.18,216503.98,172718.15,43785.83,20.22
750,2023-06-29,F 2023,Sales Invoice,SI103463,20000,C0006,AO,EM-001,Executive Meeting Room Set,EM_COMMER,,9,722570.04,6503130.36,4921687.35,1581443.01,24.32
751,2023-06-29,F 2023,Sales Invoice,SI103463,30000,C0006,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,,1,200876.43,200876.43,141909.69,58966.74,29.35
752,2023-03-24,F 2023,Sales Invoice,SI103464,10000,C0014,CM,1896-S,ADDIS ABABA Executive Desk,BENCH,,11,167760.92,1845370.12,1444351.04,401019.08,21.73
753,2023-02-01,F 2023,Sales Invoice,SI103465,10000,C0005,BM,1920-S,LUANDA Conference Table,TABLE,,8,262556.41,2100451.28,1151303.84,949147.44,45.19
754,2023-02-01,F 2023,Sales Invoice,SI103465,20000,C0005,BM,1908-S,DUBAI Corner Desk,BENCH,KSM,4,113384.31,453537.24,377662.68,75874.56,16.73
755,2023-06-26,F 2023,Sales Invoice,SI103466,10000,C0005,CM,1952-S,"ABUJA Whiteboard, base",MISC,,11,51457.08,566027.88,390211.8,175816.08,31.06
756,2023-06-26,F 2023,Sales Invoice,SI103466,20000,C0005,CM,1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,MBA,12,163876.14,1966513.68,1340991.36,625522.32,31.81
757,2023-06-26,F 2023,Sales Invoice,SI103466,30000,C0005,CM,1944-S,HARARE Folding Table,TABLE,,6,46722.94,280337.64,196066.02,84271.62,30.06
758,2023-06-26,F 2023,Sales Invoice,SI103466,40000,C0005,CM,1896-S,ADDIS ABABA Executive Desk,BENCH,KSM,11,181906.95,2000976.45,1496901.45,504075.0,25.19
759,2023-06-26,F 2023,Sales Invoice,SI103466,50000,C0005,CM,1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,,3,28063.64,84190.92,55892.4,28298.52,33.61
760,2023-08-07,F 2023,Sales Invoice,SI103467,10000,C0003,BM,1936-S,ACCRA Round Table,TABLE,,6,97153.77,582922.62,419537.28,163385.34,28.03
761,2023-08-06,F 2023,Sales Invoice,SI103468,10000,C0012,AO,1896-S,ADDIS ABABA Executive Desk,BENCH,,8,174353.54,1394828.32,929001.12,465827.2,33.4
762,2022-10-08,F 2023,Sales Invoice,SI103469,10000,C0032,CM,1928-S,DAKAR Meeting Table,TABLE,MBA,4,156266.5,625066.0,387910.96,237155.04,37.94
763,2023-05-13,F 2023,Sales Invoice,SI103470,10000,C0007,CM,1900-S,CAIRO Writing Desk,BENCH,,4,109503.05,438012.2,312558.84,125453.36,28.64
764,2023-05-13,F 2023,Sales Invoice,SI103470,20000,C0007,CM,1956-S,Conference Bundle 1-6,MISC,KSM,12,329607.98,3955295.76,2770860.48,1184435.28,29.95
765,2023-08-01,F 2023,Sales Invoice,SI103471,10000,C0013,BM,1960-S,"NAIROBI Guest Chair, green",CHAIR,,2,22438.58,44877.16,34021.48,10855.68,24.19
766,2023-08-01,F 2023,Sales Invoice,SI103471,20000,C0013,BM,PART-2,Desk Leg Leveller Kit,PARTS,,9,642.08,5778.72,2771.91,3006.81,52.03
767,2023-08-01,F 2023,Sales Invoice,SI103471,30000,C0013,BM,1896-S,ADDIS ABABA Executive Desk,BENCH,,11,189261.96,2081881.56,1280481.62,801399.94,38.49
768,2023-03-05,F 2023,Sales Invoice,SI103472,10000,C0003,CM,2000-S,"KIGALI Ergonomic Chair, black",CHAIR,,1,44691.59,44691.59,27183.48,17508.11,39.18
769,2023-08-27,F 2023,Sales Invoice,SI103473,10000,C0017,AO,1952-S,"ABUJA Whiteboard, base",MISC,,12,60767.9,729214.8,432230.04,296984.76,40.73
